('fast_vgs_plus', 'spokencoco_val', 2, '0.5', -0.013094504632720527, 0.1465212689416016)
('fast_vgs_plus', 'spokencoco_val', 3, '0.5', -0.011517553575871763, 0.2015799072795662)
('fast_vgs_plus', 'spokencoco_val', 4, '0.5', -0.011862923112980213, 0.18838880146556958)
('fast_vgs_plus', 'spokencoco_val', 5, '0.5', -0.00028324751978164604, 0.9749462596022159)
('fast_vgs_plus', 'spokencoco_val', 6, '0.5', 0.030790146702175177, 0.0006385239014997535)
('fast_vgs_plus', 'spokencoco_val', 7, '0.5', 0.07778542410679637, 5.739114184721289e-18)
('fast_vgs_plus', 'spokencoco_val', 8, '0.5', 0.14310521173429874, 2.890734117108707e-57)
('fast_vgs_plus', 'spokencoco_val', 9, '0.5', 0.0005603509605002122, 0.9504596968852501)
('fast_vgs_plus', 'spokencoco_val', 10, '0.5', -0.02281657270231969, 0.011401670948393599)
('fast_vgs_plus', 'spokencoco_val', 11, '0.5', -0.0232749263642236, 0.009851981463337283)
('fast_vgs_plus', 'spokencoco_val', 12, '0.5', -0.021193113204802137, 0.018769742325363097)
('wav2vec_small', 'librispeech_train', 0, '0.5', 0.056043356213488334, 4.840569138875719e-11)
('wav2vec_small', 'librispeech_train', 1, '0.5', 0.06111730191041579, 7.381763663719777e-13)
('wav2vec_small', 'librispeech_train', 2, '0.5', 0.07148714713707835, 4.780347071516627e-17)
('wav2vec_small', 'librispeech_train', 3, '0.5', 0.07401348674889774, 3.6452055273072955e-18)
('wav2vec_small', 'librispeech_train', 4, '0.5', 0.08284548987345414, 2.254042956112923e-22)
('wav2vec_small', 'librispeech_train', 5, '0.5', 0.09044043059426193, 2.2770891174987234e-26)
('wav2vec_small', 'librispeech_train', 6, '0.5', 0.10386597526989234, 2.7351290505820476e-34)
('wav2vec_small', 'librispeech_train', 7, '0.5', 0.09750670327764191, 2.1166297994133724e-30)
('wav2vec_small', 'librispeech_train', 8, '0.5', 0.07151098698819212, 4.6675661972594783e-17)
('wav2vec_small', 'librispeech_train', 9, '0.5', 0.06236583446752663, 2.498805927814837e-13)
('wav2vec_small', 'librispeech_train', 10, '0.5', 0.06652908987096816, 5.782564489840355e-15)
('wav2vec_small', 'librispeech_train', 11, '0.5', 0.06908666378927841, 5.083106469666733e-16)
('hubert_base_ls960', 'spokencoco_val', 0, '0.5', -0.011519696982175186, 0.20149601611071455)
('hubert_base_ls960', 'spokencoco_val', 1, '0.5', -0.017976394873592663, 0.046227201969352226)
('hubert_base_ls960', 'spokencoco_val', 2, '0.5', -0.01307230903792373, 0.14720692823617568)
('hubert_base_ls960', 'spokencoco_val', 3, '0.5', -0.011179207556891257, 0.21514366659791997)
('hubert_base_ls960', 'spokencoco_val', 4, '0.5', -0.007558953322883543, 0.40196392257250274)
('hubert_base_ls960', 'spokencoco_val', 5, '0.5', 0.0029118739854034873, 0.7468029442495999)
('hubert_base_ls960', 'spokencoco_val', 6, '0.5', 0.019260325630780253, 0.03270329938666301)
('hubert_base_ls960', 'spokencoco_val', 7, '0.5', 0.028888206917725697, 0.0013568364909265955)
('hubert_base_ls960', 'spokencoco_val', 8, '0.5', 0.04593176291708419, 3.4796540895628985e-07)
('hubert_base_ls960', 'spokencoco_val', 9, '0.5', 0.034989551012170966, 0.00010415983568537109)
('hubert_base_ls960', 'spokencoco_val', 10, '0.5', 0.027406308706988864, 0.002371488397325596)
('hubert_base_ls960', 'spokencoco_val', 11, '0.5', 0.010075026061274231, 0.2639483585754151)
('fast_vgs_plus', 'librispeech_train', 0, '0.5', 0.0387320866685953, 5.553801030857737e-06)
('fast_vgs_plus', 'librispeech_train', 1, '0.5', 0.07252176581862792, 1.6839573999246972e-17)
('fast_vgs_plus', 'librispeech_train', 2, '0.5', 0.07527695237533247, 9.735843155079578e-19)
('fast_vgs_plus', 'librispeech_train', 3, '0.5', 0.08287854342029032, 2.1693457675760413e-22)
('fast_vgs_plus', 'librispeech_train', 4, '0.5', 0.09291452317959677, 9.556754358158636e-28)
('fast_vgs_plus', 'librispeech_train', 5, '0.5', 0.10014169812293554, 5.550726381965561e-32)
('fast_vgs_plus', 'librispeech_train', 6, '0.5', 0.1113067757924737, 3.7347177777347544e-39)
('fast_vgs_plus', 'librispeech_train', 7, '0.5', 0.12216842917103228, 7.209848396515848e-47)
('fast_vgs_plus', 'librispeech_train', 8, '0.5', 0.12817577552510825, 1.8912948053174298e-51)
('fast_vgs_plus', 'librispeech_train', 9, '0.5', 0.09709908716792494, 3.685331200921095e-30)
('fast_vgs_plus', 'librispeech_train', 10, '0.5', 0.09188727009469072, 3.602373315110424e-27)
('fast_vgs_plus', 'librispeech_train', 11, '0.5', 0.08967945391466847, 5.935596992394171e-26)
('fast_vgs_plus', 'librispeech_train', 12, '0.5', 0.09177618347295564, 4.15454067133591e-27)
('wav2vec_random', 'spokencoco_val', 0, '0.5', -0.04001380262639876, 9.065109736537506e-06)
('wav2vec_random', 'spokencoco_val', 1, '0.5', -0.039580012788938204, 1.1324856517627567e-05)
('wav2vec_random', 'spokencoco_val', 2, '0.5', -0.039402490360906636, 1.2396808643639823e-05)
('wav2vec_random', 'spokencoco_val', 3, '0.5', -0.03899697740986473, 1.52202606949208e-05)
('wav2vec_random', 'spokencoco_val', 4, '0.5', -0.03928313942917857, 1.317119989472454e-05)
('wav2vec_random', 'spokencoco_val', 5, '0.5', -0.03988412910840204, 9.69101493942395e-06)
('wav2vec_random', 'spokencoco_val', 6, '0.5', -0.040258769752571526, 7.986558538249994e-06)
('wav2vec_random', 'spokencoco_val', 7, '0.5', -0.04101638266496437, 5.373540891436974e-06)
('wav2vec_random', 'spokencoco_val', 8, '0.5', -0.0410610776875479, 5.248257424722489e-06)
('wav2vec_random', 'spokencoco_val', 9, '0.5', -0.040368801580311864, 7.54307890746282e-06)
('wav2vec_random', 'spokencoco_val', 10, '0.5', -0.040196976127269766, 8.246432848335542e-06)
('wav2vec_random', 'spokencoco_val', 11, '0.5', -0.040454281871889416, 7.214905553646269e-06)
('wav2vec_small', 'spokencoco_val', 0, '0.5', -0.018508002512517358, 0.04014341925074625)
('wav2vec_small', 'spokencoco_val', 1, '0.5', -0.012511372733964531, 0.16536067650321148)
('wav2vec_small', 'spokencoco_val', 2, '0.5', -0.012747681611535796, 0.15751754706862117)
('wav2vec_small', 'spokencoco_val', 3, '0.5', -0.012856871742241436, 0.15399014450303355)
('wav2vec_small', 'spokencoco_val', 4, '0.5', -0.010894998671586996, 0.22703559094330275)
('wav2vec_small', 'spokencoco_val', 5, '0.5', -0.005120038419401384, 0.5702431792756019)
('wav2vec_small', 'spokencoco_val', 6, '0.5', 0.0034778741095728323, 0.6997824639471775)
